lat,lng
39.6815960499, -76.4877680457
31.2349385927, -81.9099727253
39.6334838922, -87.9552374871
35.453782292, -80.6494827503
33.5875007141, -81.3219657426
33.1452501254, -74.7812053521
31.1435473062, -83.1168094539
34.3504737332, -74.4886888131
39.8347675945, -82.6286733505
37.8960301016, -87.1310408493
31.2421680743, -81.9551828162
33.2310040251, -83.8349476893
32.6129310026, -76.4445779199
31.9225518533, -78.6374395913
38.1508926674, -75.1898568382
39.7616614836, -79.6246803298
33.377523419, -88.2374837677
37.2335900517, -86.1572120111
36.8699274049, -82.4818702096
39.4477854274, -85.4375869814
38.5000938719, -85.1486790429
32.48845391, -82.1612717341
38.9807670748, -84.4837013247
34.7743253529, -76.6139070781
30.0451459965, -85.3363618645
36.390448408, -85.156484127
38.3957537875, -82.8231860284
33.1670266079, -87.6077675045
37.7979440632, -78.110554854
36.9145413018, -81.6206339803
35.3184400333, -85.6871559195
37.6534131737, -82.4159516163
39.4312350705, -79.2440149465
39.4326487588, -83.6140947799
34.2324322076, -87.1609591745
37.3964673985, -83.7211850984
36.7317456158, -84.8571685947
36.6211238591, -79.7145196267
34.59801146, -88.8683056169
39.9366653128, -87.4593691397
30.7407497394, -80.3227589813
31.0834027675, -77.633217074
32.7558039848, -83.5254705594
39.8063392153, -90.8735103174
38.1007511678, -79.6697276675
31.1125479533, -86.7372658014
34.7217598954, -80.7159474031
31.2416988472, -90.9266470518
36.4788674496, -78.8528841165
35.9411461611, -81.0045660984
37.9535246415, -82.9109566704
34.0142203191, -89.2780671987
32.722601699, -87.0307216831
37.0652962585, -84.657944421
31.2960163044, -81.4896385978
37.2436577458, -83.5567697836
38.8960259772, -88.71456423
36.6071137111, -90.3404573349
35.0637922857, -83.8177859341
36.4473417368, -89.7076446718
33.3090099334, -89.0045123967
39.4136366128, -80.1695296475
36.0222351894, -81.6373943338
37.7950719286, -87.2415932093
36.9588661543, -85.2192293184
37.0391732839, -83.8016191671
34.9085737686, -81.6396051636
33.5927767754, -83.6530005116
38.0933870791, -90.9826892416
37.1777162957, -80.2277637885
33.3739217835, -85.941406063
37.3493277204, -75.3339821625
37.154446475, -90.4289931293
32.7747911322, -89.6847523025
33.2296829615, -78.0642655926
31.9185004228, -82.0369095187
34.2978062647, -77.4945006295
37.961347618, -78.0177858122
32.3646662289, -86.9527001745
33.6989687051, -88.147582725
31.1605465468, -74.9722590719
36.6208386344, -84.8196804236
31.1049118196, -76.5420550204
39.1673828676, -84.8746528532
33.2510988553, -82.2970890036
31.2745400328, -80.2142402308
35.773150568, -79.6015393542
39.5219812094, -90.1325229428
36.186411582, -81.9276832564
31.4353227051, -80.0332389393
33.3964238773, -76.0570255485
37.9716605057, -83.3717896097
37.9994112429, -78.0295561436
31.6227723614, -81.8730523065
39.7201017007, -84.2396002764
30.6556235312, -85.8318055202
32.2955687965, -83.613413061
33.3092981569, -80.8151490321
39.2382575317, -84.5278136752
34.2793929564, -82.3140603923
